          Time-Start   CPU    C-State      Sleep[ns]    Delta[ns]   Miss  Below
      4908.165460454     2         C1        1048566      1046566      1      1
      4908.166521564     2        C10         220164     -4779836      1      0
      4908.287387267     2        C1E          15568        -4432      1      0
      4908.464242923     2        C10        4458075      -541925      1      0
      4908.469195027     2        C10        6001909      1001909      0      -
      4908.586556235     2        C10        8452049      3452049      0      -
      4908.705866145     2        C10        9688530      4688530      0      -
      4908.826624240     2        C10        3575590     -1424410      1      0
      4908.830710289     2        C10        6093686      1093686      0      -
      4908.947020355     2        C10        3613874     -1386126      1      0
      4908.951078036     2        C10       10905310      5905310      0      -
      4909.072552343     2        C10        9125001      4125001      0      -
      4909.193968172     2        C10         652637     -4347363      1      0
      4909.195067626     2        C10        9415203      4415203      0      -
      4909.315393743     2        C10       11382596      6382596      0      -
      4909.437359969     2        C10       18880302     13880302      0      -
      4909.628685270     2        C10        3882942     -1117058      1      0
      4909.861491619     2        C10          57089     -4942911      1      0
      4909.861553890     2        C10          27403     -4972597      1      0
      4909.862057457     2        C10        5424122       424122      0      -
      4909.978570434     2        C10       16016410     11016410      0      -
      4910.105127780     2        C10       13198316      8198316      0      -
      4910.118769809     2        C10        8783020      3783020      0      -
      4910.237944250     2        C10       18951028     13951028      0      -
      4910.367836308     2        C10       19136739     14136739      0      -
      4910.386993114     2        C10          54684     -4945316      1      0
      4910.387050065     2        C10          30437     -4969563      1      0
      4910.498266770     2        C10        4851696      -148304      1      0
      4910.503627394     2        C10         566880     -4433120      1      0
      4910.955055908     2        C10         329666     -4670334      1      0
      4910.955871189     2        C10        1064577     -3935423      1      0
      4911.291402095     2        C10        2816095     -2183905      1      0
      4911.970685635     2        C10        2798887     -2201113      1      0
      4911.973995513     2        C10        5298227       298227      0      -
      4912.429315057     2        C10       12348571      7348571      0      -
      4912.552596938     2        C10        1901392     -3098608      1      0
      4912.555016951     2        C10       27391026     22391026      0      -
      4912.695842341     2        C10        7701430      2701430      0      -
      4912.704049207     2        C10       17637978     12637978      0      -
      4912.838275562     2        C10       20921071     15921071      0      -
      4912.859654129     2        C10       13913137      8913137      0      -
      4912.984963740     2        C10        7071415      2071415      0      -
      4912.992485085     2        C10       15045499     10045499      0      -
      4913.118834308     2        C10        5415940       415940      0      -
      4913.124723442     2        C10       23841689     18841689      0      -
      4913.258943491     2        C10        1204283     -3795717      1      0
      4913.260592610     2        C10        7964926      2964926      0      -
      4913.489323476     2        C10       10970431      5970431      0      -
      4913.500299998     2        C10          72888     -4927112      1      0
      4913.500375342     2        C10        2604608     -2395392      1      0
      4913.626184841     2        C10       19832548     14832548      0      -
      4913.869792683     2        C10       18688658     13688658      0      -
      4913.999942580     2        C10       16410329     11410329      0      -
      4914.126844937     2        C10       13516435      8516435      0      -
      4914.140811255     2        C10        8791517      3791517      0      -
      4914.260537493     2        C10       12760451      7760451      0      -
      4914.273799000     2        C10        3023061     -1976939      1      0
      4914.392475467     2        C10       35094387     30094387      0      -
      4914.543650323     2        C10        3253090     -1746910      1      0
      4914.547357025     2        C10        9388476      4388476      0      -
      4914.668031236     2        C10        5172947       172947      0      -
      4914.784145671     2        C10       26943722     21943722      0      -
      4914.811586605     2        C10        2929469     -2070531      1      0
      4914.925060481     2        C10        4257391      -742609      1      0
      4915.040229148     2        C10        5201100       201100      0      -
      4915.165400903     2        C10        6779241      1779241      0      -
      4915.172707355     2        C10        3696324     -1303676      1      0
      4915.287264091     2        C10       22715296     17715296      0      -
      4915.420509645     2        C10        9141785      4141785      0      -
      4915.430212267     2        C10       22653417     17653417      0      -
      4915.564259544     2        C10        5132922       132922      0      -
      4915.569905061     2        C10        6822582      1822582      0      -
      4915.797888088     2        C10        4467127      -532873      1      0
      4915.802805512     2        C10        5626190       626190      0      -
      4916.033307289     2        C10       12275770      7275770      0      -
      4916.155973623     2        C10        9798961      4798961      0      -
      4916.166216294     2        C10       15461062     10461062      0      -
      4916.293751033     2        C10        8941389      3941389      0      -
      4916.755102497     2        C10        5458426       458426      0      -
      4916.871490761     2        C10        3116585     -1883415      1      0
      4916.875126083     2        C10       18446902     13446902      0      -
      4917.006167065     2        C10        9392561      4392561      0      -
      4917.016009300     2        C10        4229789      -770211      1      0
      4917.130531344     2        C10          54897     -4945103      1      0
      4917.130589920     2        C10          59237     -4940763      1      0
      4917.131030426     2        C10       11130639      6130639      0      -
      4917.252568264     2        C10       15243722     10243722      0      -
      4917.268257211     2        C10       14918498      9918498      0      -
      4917.283630988     2        C10        6323671      1323671      0      -
      4917.406480896     2        C10        8036803      3036803      0      -
      4917.414961348     2        C10       21967258     16967258      0      -
      4917.553026926     2        C10          54832     -4945168      1      0
      4917.553084461     2        C10          66640     -4933360      1      0
      4917.553152651     2        C10       17084761     12084761      0      -
      4917.570708771     2        C10       14739354      9739354      0      -
      4917.697134025     2        C10       22044268     17044268      0      -
      4917.830350572     2        C10        9665171      4665171      0      -
      4918.176836910     2        C10        2562051     -2437949      1      0
      4918.291418164     2        C10        4680641      -319359      1      0
      4918.406679114     2        C10        5450805       450805      0      -
      4918.526394345     2        C10          54771     -4945229      1      0
      4918.526452297     2        C10        5618453       618453      0      -
      4918.643867023     2        C10        3760140     -1239860      1      0
      4918.758624101     2        C10       13806957      8806957      0      -
      4918.887753196     2        C10       18792656     13792656      0      -
      4919.017638405     2        C10        7788634      2788634      0      -
      4919.025885222     2        C10       13469822      8469822      0      -
      4919.151163047     2        C10       11359308      6359308      0      -
      4919.162965446     2        C10       15879360     10879360      0      -
      4919.179292859     2        C10        9533697      4533697      0      -
      4919.302646461     2        C10        9128628      4128628      0      -
      4919.422431522     2        C10        7329287      2329287      0      -
      4919.662812652     2        C10        6422054      1422054      0      -
      4919.669741179     2        C10          55771     -4944229      1      0
      4919.669800102     2        C10        7804483      2804483      0      -
      4919.788173608     2        C10        6290775      1290775      0      -
      4919.794967264     2        C10        5894600       894600      0      -
      4919.967724859     2        C10       15903017     10903017      0      -
      4920.375661907     2        C10       22078875     17078875      0      -
      4920.626104122     2        C10       15147172     10147172      0      -
      4920.641694786     2        C10        7847028      2847028      0      -
      4921.037530803     2        C10        7997687      2997687      0      -
      4921.161186920     2        C10        7884501      2884501      0      -
      4921.169529562     2        C10       10764157      5764157      0      -
      4921.291486055     2        C10       10919062      5919062      0      -
      4921.413082319     2        C10          54805     -4945195      1      0
      4921.413140617     2        C10        6061688      1061688      0      -
      4921.872213611     2        C10        8229551      3229551      0      -
      4921.880961170     2        C10       13579825      8579825      0      -
      4922.005117816     2        C10       13810107      8810107      0      -
      4922.130170709     2        C10       11401412      6401412      0      -
      4922.768368295     2        C10        1589314     -3410686      1      0
      4923.101833803     2        C10        7216208      2216208      0      -
      4923.220286755     2        C10        7010667      2010667      0      -
      4923.341523787     2        C10       18033573     13033573      0      -
      4923.470645308     2        C10       19416947     14416947      0      -
      4923.602302418     2        C10        9595178      4595178      0      -
      4923.722856430     2        C10        4956159       -43841      1      0
      4924.062730716     2        C10        3651242     -1348758      1      0
      4924.066907893     2        C10          55655     -4944345      1      0
      4924.066966490     2        C10          67273     -4932727      1      0
      4924.067035391     2        C10       12947280      7947280      0      -
      4924.194980422     2        C10       18278790     13278790      0      -
      4924.213727113     2        C10        6088834      1088834      0      -
      4924.331437892     2        C10       15000061     10000061      0      -
      4924.457862370     2        C10       11307717      6307717      0      -
      4924.586240160     2        C10        2240427     -2759573      1      0
      4924.588977155     2        C10       23408718     18408718      0      -
      4924.724047008     2        C10       32441796     27441796      0      -
      4924.872872970     2        C10        4693820      -306180      1      0
      4924.878001597     2        C10        1959786     -3040214      1      0
      4924.991386508     2        C10        5488535       488535      0      -
      4924.997358669     2        C10          56012     -4943988      1      0
      4924.997418011     2        C10          68772     -4931228      1      0
      4924.997488323     2        C10          71788     -4928212      1      0
      4925.275256829     2        C10         701919     -4298081      1      0
      4925.276401022     2        C10          55487     -4944513      1      0
      4925.276459291     2        C10         562991     -4437009      1      0
      4925.387388211     2        C10        7855736      2855736      0      -
      4925.507003732     2        C10         715211     -4284789      1      0
      4925.625075562     2        C10        1333486     -3666514      1      0
      4925.626431246     2        C10       16989078     11989078      0      -
      4925.643869804     2        C10         925341     -4074659      1      0
      4925.755830929     2        C10       25359179     20359179      0      -
      4925.781671243     2        C10        2637534     -2362466      1      0
      4925.895225181     2        C10       13036924      8036924      0      -
      4926.018998787     2        C10       12994151      7994151      0      -
      4926.032436828     2        C10        9293180      4293180      0      -
      4926.152211627     2        C10       12263813      7263813      0      -
      4926.164917121     2        C10        9610530      4610530      0      -
      4926.285436852     2        C10        5666463       666463      0      -
      4926.291548236     2        C10       31473605     26473605      0      -
      4926.441346121     2        C10       27781627     22781627      0      -
      4926.585076084     2        C10       31110357     26110357      0      -
      4926.729058070     2        C10        3524330     -1475670      1      0
      4926.843934316     2        C10       13486195      8486195      0      -
      4926.857935186     2        C10       11170430      6170430      0      -
      4926.869594645     2        C10        1480991     -3519009      1      0
      4926.982191653     2        C10       18095940     13095940      0      -
      4927.115934879     2        C10        4314587      -685413      1      0
      4927.120802253     2        C10        5353650       353650      0      -
      4927.237305788     2        C10       16136230     11136230      0      -
      4927.253949950     2        C10       19672260     14672260      0      -
      4927.385781228     2        C10        7930630      2930630      0      -
      4927.620351162     2        C10       10911250      5911250      0      -
      4927.631738684     2        C10         820265     -4179735      1      0
      4927.743757377     2        C10       10940457      5940457      0      -
      4927.871911864     2        C10       19344971     14344971      0      -
      4928.002299888     2        C10        7736238      2736238      0      -
      4928.287074911     2        C10        3036976     -1963024      1      0
      4928.401655875     2        C10        2661382     -2338618      1      0
      4928.519669043     2        C10          54941     -4945059      1      0
      4928.519726556     2        C10          66862     -4933138      1      0
      4928.519795023     2        C10        3654037     -1345963      1      0
      4928.696613549     2        C10        6545907      1545907      0      -
      4928.703658032     2        C10        7588520      2588520      0      -
      4928.822492601     2        C10        2588468     -2411532      1      0
      4928.935709089     2        C10       23085908     18085908      0      -
      4928.959242086     2        C10        5919502       919502      0      -
      4929.076928581     2        C10       15763869     10763869      0      -
      4929.093137244     2        C10        8832046      3832046      0      -
      4929.212338329     2        C10        5113307       113307      0      -
      4929.217897099     2        C10       12446953      7446953      0      -
      4929.230786210     2        C10        8965405      3965405      0      -
      4929.239758790     2        C10        2571084     -2428916      1      0
      4929.361156896     2        C10        6442196      1442196      0      -
      4929.368042539     2        C10        5149031       149031      0      -
      4929.484851210     2        C10       12153206      7153206      0      -
      4929.497504927     2        C10        3765267     -1234733      1      0
      4929.895329471     2        C10       25639160     20639160      0      -
      4929.921494258     2        C10        5150868       150868      0      -
      4930.039344065     2        C10       10101608      5101608      0      -
      4930.049892602     2        C10       11898055      6898055      0      -
      4930.180007907     2        C10       31254520     26254520      0      -
      4930.211789696     2        C10       11330892      6330892      0      -
      4930.340611592     2        C10       16138442     11138442      0      -
      4930.357271278     2        C10        2856274     -2143726      1      0
      4930.806323482     2        C10        7359040      2359040      0      -
      4930.813688936     2        C10          73892     -4926108      1      0
      4930.813765070     2        C10          10222     -4989778      1      0
      4930.932720661     2        C10        6843597      1843597      0      -
      4930.940146662     2        C10       10068776      5068776      0      -
      4931.061415099     2        C10       18124554     13124554      0      -
      4931.190383538     2        C10        1975518     -3024482      1      0
      4931.192810192     2        C10       12876899      7876899      0      -
      4931.316544552     2        C10       17108635     12108635      0      -
      4931.444361885     2        C10       11212602      6212602      0      -
      4931.456021927     2        C10       16798078     11798078      0      -
      4931.589379885     2        C10        5596051       596051      0      -
      4931.595448550     2        C10       13578526      8578526      0      -
      4931.609471674     2        C10       17413595     12413595      0      -
      4931.739420182     2        C10        6657001      1657001      0      -
      4931.746594580     2        C10       10947953      5947953      0      -
      4931.758008673     2        C10        1908050     -3091950      1      0
      4931.871680346     2        C10       14192068      9192068      0      -
      4931.886318052     2        C10         418533     -4581467      1      0
      4931.997544280     2        C10       14347431      9347431      0      -
      4932.123279762     2        C10        7849082      2849082      0      -
