          Time-Start   CPU    C-State      Sleep[ns]    Delta[ns]   Miss  Below
      4700.091456154     3         C1         998057       996057      1      1
      4700.193863657     3         C2         283299       247299      0      -
      4700.194151936     3         C3        3549729      2849729      0      -
      4700.197760835     3         C3        3059070      2359070      0      -
      4700.200831995     3         C3        3536449      2836449      0      -
      4700.204382304     3         C3        3318719      2618719      0      -
      4700.208034562     3         C3        3020690      2320690      0      -
      4700.231714856     3         C3        3000581      2300581      0      -
      4700.234730207     3         C3        1786224      1086224      0      -
      4700.259497268     3         C3           7460      -692540      1      0
      4700.259512058     3         C3         158349      -541651      1      0
      4700.259676317     3         C3           6160      -693840      1      0
      4700.259751757     3         C2        1056126      1020126      1      1
      4700.260811673     3         C3        3329230      2629230      0      -
      4700.264149193     3         C3        3325329      2625329      0      -
      4700.267477482     3         C2         738188       702188      1      1
      4700.268388369     3         C3        2419273      1719273      0      -
      4700.270820052     3         C3        3321349      2621349      0      -
      4700.274146071     3         C2         195019       159019      0      -
      4700.300192628     3         C2         614988       578988      0      -
      4700.300811106     3         C3        3330259      2630259      0      -
      4700.304144625     3         C3        3329930      2629930      0      -
      4700.307478045     3         C3        1597444       897444      0      -
      4700.348902202     3         C3        1910694      1210694      0      -
      4700.350817776     3         C3        3569789      2869789      0      -
      4700.354401635     3         C3        3296259      2596259      0      -
      4700.358024293     3         C3        2970131      2270131      0      -
      4700.400635127     3         C2         177490       141490      0      -
      4700.400817597     3         C3        3331189      2631189      0      -
      4700.404158506     3         C3        2195853      1495853      0      -
      4700.426263005     3         C3        1216776       516776      0      -
      4700.427485511     3         C3        3545919      2845919      0      -
      4700.431048040     3         C3        3316109      2616109      0      -
      4700.434378909     3         C3        3317650      2617650      0      -
      4700.437711539     3         C3        3108040      2408040      0      -
      4700.440844299     3         C3        2845101      2145101      0      -
      4700.463943455     3         C2         203039       167039      0      -
      4700.464152144     3         C3        3577059      2877059      0      -
      4700.467743873     3         C3        3286959      2586959      0      -
