          Time-Start   CPU    C-State      Sleep[ns]    Delta[ns]   Miss  Below
      2659.865635442     2         C1        1086194      1084194      1      1
      2659.882569875     2        C10        4987040       -12960      1      0
      2659.887564808     2        C10          71839     -4928161      1      0
      2659.887638512     2        C10          32211     -4967789      1      0
      2659.887718061     2        C10        4751003      -248997      1      0
      2659.892521816     2        C10        2755081     -2244919      1      0
      2659.895332039     2         C8        2007881      1207881      0      -
      2659.897426942     2        C10        3108014     -1891986      1      0
      2659.900594986     2         C8        2527022      1727022      0      -
      2659.903250065     2        C10        4826113      -173887      1      0
      2659.908184834     2         C8        2147004      1347004      0      -
      2659.910465087     2         C8        2873707      2073707      0      -
      2659.913451391     2        C10        3525646     -1474354      1      0
      2659.917052767     2        C10        5550034       550034      0      -
      2659.922697318     2        C10        3371555     -1628445      1      0
      2659.926178057     2        C10        1797038     -3202962      1      0
      2659.928057025     2        C10        4876517      -123483      1      0
      2659.933043639     2        C10        4057884      -942116      1      0
      2659.937215683     2         C8        1808559      1008559      0      -
      2659.939177978     2        C10        5573562       573562      0      -
      2659.944852507     2        C10        5926974       926974      0      -
      2659.950873690     2        C10        5196965       196965      0      -
      2659.956231599     2        C10        5538895       538895      0      -
      2659.961933919     2        C10        2143483     -2856517      1      0
      2659.964186805     2        C10        4502766      -497234      1      0
      2659.968796998     2        C10        5361341       361341      0      -
      2659.974167245     2        C10          50061     -4949939      1      0
      2659.974317801     2        C10        4438987      -561013      1      0
      2659.978867483     2        C10        2957219     -2042781      1      0
      2659.981933559     2         C6         699147       499147      0      -
      2659.982733713     2        C10        2976752     -2023248      1      0
      2659.985825776     2        C10        4057098      -942902      1      0
      2659.989995296     2        C10        5851918       851918      0      -
      2659.995957800     2        C10        6134473      1134473      0      -
      2660.002201204     2        C10        3202105     -1797895      1      0
      2660.005519948     2        C10        5230163       230163      0      -
      2660.010858172     2         C8        1916973      1116973      0      -
      2660.012914193     2        C10        4951196       -48804      1      0
      2660.017978035     2        C10        3425792     -1574208      1      0
      2660.021523349     2        C1E          92986        72986      0      -
      2660.021668957     2        C10        4725241      -274759      1      0
      2660.026502993     2        C10        2785250     -2214750      1      0
      2660.029399507     2        C10        5077520        77520      0      -
      2660.034584437     2        C10        4362555      -637445      1      0
      2660.039057141     2        C1E          25446         5446      0      -
      2660.039129724     2        C10        3351831     -1648169      1      0
      2660.042592617     2        C10        5328542       328542      0      -
      2660.048018590     2         C8        1826682      1026682      0      -
      2660.049966210     2        C10        2316334     -2683666      1      0
      2660.052398330     2        C10        5331340       331340      0      -
      2660.057833121     2         C8        1479617       679617      0      -
      2660.059432604     2        C10        3799714     -1200286      1      0
      2660.063343242     2        C10        1767662     -3232338      1      0
      2660.065222773     2        C10        5931255       931255      0      -
      2660.071260627     2        C10        5211670       211670      0      -
      2660.076582384     2        C10        3081379     -1918621      1      0
      2660.079774167     2         C6         592124       392124      0      -
      2660.080458750     2         C8        2284739      1484739      0      -
      2660.082883145     2        C10        3442373     -1557627      1      0
      2660.086442551     2        C10        5953737       953737      0      -
      2660.092506687     2         C6         749198       549198      0      -
      2660.093356919     2        C10        3705657     -1294343      1      0
      2660.097181438     2        C10        4362478      -637522      1      0
      2660.101651743     2        C10        3608224     -1391776      1      0
      2660.105370004     2        C10        5280272       280272      0      -
      2660.110763963     2        C10        3317239     -1682761      1      0
      2660.114189110     2        C10        6177633      1177633      0      -
      2660.120486087     2        C10        3733454     -1266546      1      0
      2660.124319814     2        C10        3651239     -1348761      1      0
      2660.128077900     2        C10        2669539     -2330461      1      0
      2660.130857425     2        C10        3700494     -1299506      1      0
      2660.134666434     2         C8        2672431      1872431      0      -
      2660.137479949     2        C10        3574838     -1425162      1      0
      2660.141154798     2         C8        2122880      1322880      0      -
      2660.143396505     2        C10        1260172     -3739828      1      0
      2660.144764813     2         C8        1451857       651857      0      -
      2660.146337593     2        C10        4085933      -914067      1      0
      2660.150539062     2        C10        4070122      -929878      1      0
      2660.154721646     2        C10        2815487     -2184513      1      0
      2660.157548301     2        C10          72604     -4927396      1      0
      2660.157715635     2         C6         633841       433841      0      -
      2660.158450090     2        C10        4946762       -53238      1      0
      2660.163506534     2        C10        5626877       626877      0      -
      2660.169241265     2        C10        5867151       867151      0      -
      2660.175218421     2        C10        5446731       446731      0      -
      2660.180776626     2        C10        5785004       785004      0      -
      2660.186670827     2        C10        5920620       920620      0      -
      2660.192707937     2        C10        3634191     -1365809      1      0
      2660.196453151     2        C10        2668262     -2331738      1      0
      2660.199223021     2        C10        4631253      -368747      1      0
      2660.203970143     2         C8        2027375      1227375      0      -
      2660.206116683     2        C10        4992573        -7427      1      0
      2660.211217643     2        C10        5495748       495748      0      -
      2660.216823756     2        C10        5710774       710774      0      -
      2660.222644732     2        C10        3930008     -1069992      1      0
      2660.226686482     2        C10        6095554      1095554      0      -
      2660.232890433     2        C10        3876115     -1123885      1      0
      2660.236876298     2        C10          63422     -4936578      1      0
      2660.236963614     2        C10          64153     -4935847      1      0
      2660.237050357     2        C10        2639943     -2360057      1      0
      2660.239796125     2        C10        4286588      -713412      1      0
      2660.244191079     2        C10        6103758      1103758      0      -
