          Time-Start   CPU    C-State      Sleep[ns]    Delta[ns]   Miss  Below
      2300.839324477     2         C3        1079077       379077      0      -
      2300.846689934     2         C3        5126703      4426703      0      -
      2300.851837227     2         C3        4622286      3922286      0      -
      2300.856514272     2         C3        2581992      1881992      0      -
      2300.859139114     2         C3        1599285       899285      0      -
      2300.860754729     2         C3        3130020      2430020      0      -
      2300.863906649     2         C3        2486482      1786482      0      -
      2300.866414841     2         C3        4761935      4061935      0      -
      2300.871200426     2         C3        1877044      1177044      0      -
      2300.873098879     2         C3        2916581      2216581      0      -
      2300.876036760     2         C3        3557289      2857289      0      -
      2300.879615729     2         C3        5503332      4803332      0      -
      2300.885134171     2         C3        3313969      2613969      0      -
      2300.888501930     2         C3        1740555      1040555      0      -
      2300.890295985     2         C3        4962214      4262214      0      -
      2300.895310489     2         C3        3775688      3075688      0      -
      2300.899140276     2         C3        1551265       851265      0      -
      2300.900744111     2         C3        5515553      4815553      0      -
      2300.906300103     2         C3        5954791      5254791      0      -
      2300.912276744     2         C3        4932895      4232895      0      -
      2300.917264238     2         C3        5470873      4770873      0      -
      2300.922777121     2         C3        1906754      1206754      0      -
      2300.924700045     2         C3        4454216      3754216      0      -
      2300.929209820     2         C3        5457123      4757123      0      -
      2300.934721713     2         C3        4158986      3458986      0      -
      2300.938917559     2         C3        2881411      2181411      0      -
      2300.941821920     2         C3         664078       -35922      1      0
      2300.942508768     2         C3        2905041      2205041      0      -
      2300.945470338     2         C3        3729059      3029059      0      -
      2300.949251786     2         C3        5537383      4837383      0      -
      2300.954831299     2         C3        5863571      5163571      0      -
      2300.960745040     2         C3        2921280      2221280      0      -
      2300.963708340     2         C3        5245804      4545804      0      -
      2300.968981793     2         C3        1612335       912335      0      -
      2300.970610338     2         C3        4892475      4192475      0      -
      2300.975524613     2         C3        3364109      2664109      0      -
      2300.978942502     2         C2         135819        99819      0      -
      2300.979137171     2         C3        4384956      3684956      0      -
      2300.983575027     2         C3        2447222      1747222      0      -
      2300.986057319     2         C3        5298963      4598963      0      -
      2300.991411782     2         C3        4074857      3374857      0      -
      2300.995540199     2         C2          44789         8789      0      -
      2300.995598918     2         C3        3037931      2337931      0      -
      2300.998682119     2         C3        5264523      4564523      0      -
      2301.003987962     2         C3        1516575       816575      0      -
      2301.005519617     2         C3        2001713      1301713      0      -
      2301.007537460     2         C3        5285153      4585153      0      -
      2301.012849083     2         C3        1249536       549536      0      -
      2301.014114489     2         C3        3531199      2831199      0      -
      2301.017669208     2         C3        1487835       787835      0      -
      2301.019178553     2         C3        5850102      5150102      0      -
      2301.025051314     2         C3        4862645      4162645      0      -
      2301.029932069     2         C3        2733531      2033531      0      -
      2301.032674720     2         C2         529408       493408      0      -
      2301.033212488     2         C3        1938914      1238914      0      -
      2301.035164332     2         C3        3093580      2393580      0      -
      2301.038269722     2         C3        5644422      4944422      0      -
      2301.043923944     2         C3         700458          458      1      0
      2301.044635342     2         C3        3362839      2662839      0      -
      2301.048019851     2         C3        4284186      3584186      0      -
      2301.052321167     2         C3        3345980      2645980      0      -
      2301.055688967     2         C3        4943454      4243454      0      -
      2301.060647341     2         C3        3304249      2604249      0      -
      2301.063973140     2         C3        5838452      5138452      0      -
      2301.069826562     2         C3        3676908      2976908      0      -
      2301.073519580     2         C3        3588258      2888258      0      -
      2301.077131358     2         C3        2726081      2026081      0      -
      2301.079874729     2         C3        3635889      2935889      0      -
      2301.083528038     2         C3        2362482      1662482      0      -
      2301.085908070     2         C3        3511549      2811549      0      -
      2301.089437049     2         C3        1794044      1094044      0      -
      2301.091256213     2         C3        1194396       494396      0      -
      2301.092468059     2         C3        1170937       470937      0      -
      2301.093657375     2         C3        3800588      3100588      0      -
      2301.097481463     2         C3        4057537      3357537      0      -
      2301.101562590     2         C3        2974771      2274771      0      -
      2301.104554921     2         C2         589008       553008      0      -
      2301.105163019     2         C3        4668595      3968595      0      -
      2301.109855114     2         C3        5473982      4773982      0      -
      2301.115352136     2         C3        5597542      4897542      0      -
      2301.120964548     2         C3        5107554      4407554      0      -
      2301.126083522     2         C3        5445313      4745313      0      -
      2301.131539275     2         C3        5593792      4893792      0      -
      2301.137142487     2         C3        3463629      2763629      0      -
      2301.140615876     2         C3        2401922      1701922      0      -
      2301.143026088     2         C3        4288426      3588426      0      -
      2301.147324024     2         C3        1706835      1006835      0      -
      2301.149037189     2         C3        4927014      4227014      0      -
      2301.153977113     2         C3        5149713      4449713      0      -
      2301.159133366     2         C3        5427193      4727193      0      -
      2301.164570209     2         C3        3586819      2886819      0      -
      2301.168170978     2         C3        5760451      5060451      0      -
      2301.173953459     2         C3        3537239      2837239      0      -
      2301.177511998     2         C3        2763101      2063101      0      -
      2301.180296899     2         C3        4021447      3321447      0      -
      2301.184340216     2         C3        6034721      5334721      0      -
      2301.190396267     2         C3        5573662      4873662      0      -
      2301.196025489     2         C3        4826314      4126314      0      -
      2301.200905913     2         C2         534398       498398      0      -
      2301.201491011     2         C3        3913178      3213178      0      -
      2301.205453799     2         C3        3184759      2484759      0      -
      2301.208694068     2         C3        3842758      3142758      0      -
      2301.212581536     2         C3        5138743      4438743      0      -
      2301.217775169     2         C3        1507275       807275      0      -
      2301.219320184     2         C3        4444516      3744516      0      -
      2301.223793110     2         C3         753268        53268      0      -
      2301.224569628     2         C3        1378115       678115      0      -
      2301.225962803     2         C3        4829615      4129615      0      -
      2301.230814248     2         C3        2052403      1352403      0      -
      2301.232888031     2         C3        4956104      4256104      0      -
      2301.237859095     2         C3         639078       -60922      1      0
      2301.238514113     2         C3         928517       228517      0      -
      2301.239458490     2         C3        4245686      3545686      0      -
      2301.243725376     2         C2         322109       286109      0      -
      2301.244069945     2         C3        3503089      2803089      0      -
      2301.247594654     2         C3        5515352      4815352      0      -
      2301.253125216     2         C3        3264310      2564310      0      -
      2301.256410796     2         C3        4140357      3440357      0      -
      2301.260572373     2         C2         210309       174309      0      -
      2301.260811082     2         C3        3866158      3166158      0      -
      2301.264692159     2         C3        3710629      3010629      0      -
      2301.268424178     2         C3        3577998      2877998      0      -
      2301.272027306     2         C3        2454272      1754272      0      -
      2301.274504238     2         C3        2344273      1644273      0      -
      2301.276872021     2         C3        5938851      5238851      0      -
      2301.282828382     2         C2         268529       232529      0      -
      2301.283114941     2         C2         180419       144419      0      -
      2301.283313550     2         C3        5826351      5126351      0      -
      2301.289163821     2         C3        1157337       457337      0      -
      2301.290339738     2         C3         793947        93947      0      -
      2301.291152015     2         C3        1323486       623486      0      -
      2301.292493171     2         C3        4930454      4230454      0      -
      2301.297447185     2         C3        5677742      4977742      0      -
      2301.303142247     2         C2         187409       151409      0      -
      2301.303347886     2         C3        2613902      1913902      0      -
      2301.305985618     2         C2         658838       622838      0      -
      2301.306669496     2         C3        1607334       907334      0      -
      2301.308295330     2         C3        1443866       743866      0      -
      2301.309756556     2         C3        4001387      3301387      0      -
      2301.313775423     2         C3        2161693      1461693      0      -
      2301.315960826     2         C3        1129886       429886      0      -
      2301.317109242     2         C3        3079180      2379180      0      -
      2301.320202732     2         C2         286669       250669      0      -
      2301.320504251     2         C2         656828       620828      0      -
      2301.321180509     2         C3        5982601      5282601      0      -
      2301.327174110     2         C3        1242326       542326      0      -
      2301.328424036     2         C3        2205643      1505643      0      -
      2301.330639579     2         C3        4437536      3737536      0      -
      2301.335086845     2         C3        5252633      4552633      0      -
      2301.340352508     2         C3        5563712      4863712      0      -
      2301.345923000     2         C3        1063697       363697      0      -
      2301.346993817     2         C3        4092447      3392447      0      -
      2301.351095584     2         C3        5862471      5162471      0      -
      2301.356979535     2         C2         398989       362989      0      -
      2301.357400804     2         C3        4117046      3417046      0      -
      2301.361539420     2         C3        5138354      4438354      0      -
      2301.366720404     2         C3        2101853      1401853      0      -
      2301.368836897     2         C3        1554195       854195      0      -
      2301.370407172     2         C3        3642748      2942748      0      -
      2301.374071470     2         C3        2710642      2010642      0      -
      2301.376803592     2         C3        1096596       396596      0      -
      2301.377916038     2         C3        2891781      2191781      0      -
      2301.380829399     2         C3        2516692      1816692      0      -
      2301.383367691     2         C3        3471639      2771639      0      -
      2301.386854280     2         C3        3111100      2411100      0      -
      2301.389986760     2         C3        1928793      1228793      0      -
      2301.391937303     2         C3        2193253      1493253      0      -
      2301.394153396     2         C3        5098264      4398264      0      -
      2301.399304940     2         C3        1555685       855685      0      -
      2301.400918735     2         C3        3417889      2717889      0      -
      2301.404370174     2         C2         123449        87449      0      -
      2301.404509333     2         C3        4524796      3824796      0      -
      2301.409088189     2         C3        2065993      1365993      0      -
      2301.411215522     2         C2         323669       287669      0      -
      2301.411599911     2         C3        1745914      1045914      0      -
      2301.413390945     2         C3        1493675       793675      0      -
      2301.414941340     2         C3        5775051      5075051      0      -
      2301.420752521     2         C3        2170723      1470723      0      -
      2301.422944834     2         C3        1775085      1075085      0      -
      2301.424736069     2         C3        2216463      1516463      0      -
      2301.426973841     2         C3        5753852      5053852      0      -
      2301.432782593     2         C3        3854908      3154908      0      -
      2301.436671951     2         C3        3784037      3084037      0      -
      2301.440477338     2         C3        4353796      3653796      0      -
      2301.444857804     2         C3        2386083      1686083      0      -
      2301.447265527     2         C3        2543552      1843552      0      -
      2301.449830339     2         C3        3964477      3264477      0      -
      2301.453816526     2         C2          52080        16080      0      -
      2301.453881066     2         C3        1204356       504356      0      -
      2301.455101072     2         C3        2068513      1368513      0      -
      2301.457191245     2         C3        1491765       791765      0      -
      2301.458697920     2         C3        3887088      3187088      0      -
      2301.462606798     2         C3        2321942      1621942      0      -
      2301.464951750     2         C3        5308083      4608083      0      -
      2301.470274823     2         C3        3468129      2768129      0      -
      2301.473764222     2         C3        2543602      1843602      0      -
      2301.476329214     2         C3        2473442      1773442      0      -
      2301.478824276     2         C3        4282626      3582626      0      -
      2301.483161642     2         C3        2559132      1859132      0      -
      2301.485765204     2         C3        4021227      3321227      0      -
      2301.489801751     2         C2         326219       290219      0      -
      2301.490138650     2         C3        2727081      2027081      0      -
      2301.492877381     2         C3        1601805       901805      0      -
      2301.494486806     2         C3        1002727       302727      0      -
      2301.495496183     2         C3        3223449      2523449      0      -
      2301.498739762     2         C3        2972471      2272471      0      -
      2301.501727983     2         C3        3424249      2724249      0      -
      2301.505167882     2         C3        4590665      3890665      0      -
      2301.509773467     2         C3        5900421      5200421      0      -
      2301.515726738     2         C3        3021591      2321591      0      -
      2301.518793458     2         C3        1916904      1216904      0      -
      2301.520726742     2         C3        2860441      2160441      0      -
      2301.523608663     2         C3        4950504      4250504      0      -
      2301.528580447     2         C3        5309633      4609633      0      -
      2301.533911900     2         C3        4934594      4234594      0      -
      2301.538868234     2         C3        1176067       476067      0      -
      2301.540060051     2         C3        6071350      5371350      0      -
      2301.546185971     2         C3        3863048      3163048      0      -
      2301.550102278     2         C2         550189       514189      0      -
      2301.550711137     2         C3        4409135      3709135      0      -
      2301.555160952     2         C3        5990271      5290271      0      -
      2301.561206363     2         C3        2474162      1774162      0      -
      2301.563733565     2         C3        4127497      3427497      0      -
      2301.567897332     2         C3        1947193      1247193      0      -
      2301.569859815     2         C3        1330986       630986      0      -
      2301.571206771     2         C3        4379076      3679076      0      -
      2301.575640117     2         C2          52870        16870      0      -
      2301.575714327     2         C3        5004074      4304074      0      -
      2301.580773091     2         C3        3236599      2536599      0      -
      2301.584063990     2         C2         626048       590048      0      -
      2301.584735288     2         C3         763287        63287      0      -
      2301.585536075     2         C3        3951378      3251378      0      -
      2301.589509033     2         C3        5303493      4603493      0      -
      2301.594834266     2         C3        1735374      1035374      0      -
      2301.596584540     2         C3        5926381      5226381      0      -
      2301.602533221     2         C2         648728       612728      0      -
      2301.603197839     2         C3        5408983      4708983      0      -
      2301.608660042     2         C3        2431142      1731142      0      -
      2301.611151504     2         C2         538328       502328      0      -
      2301.611750032     2         C3        1709934      1009934      0      -
      2301.613507466     2         C3        2847581      2147581      0      -
      2301.616398457     2         C3        4810164      4110164      0      -
      2301.621237741     2         C3        5241834      4541834      0      -
      2301.626533444     2         C3         846698       146698      0      -
      2301.627423832     2         C3        3178920      2478920      0      -
      2301.630624251     2         C3        3972368      3272368      0      -
      2301.634641679     2         C3        2135773      1435773      0      -
      2301.636811252     2         C3        5293023      4593023      0      -
      2301.642146355     2         C3        1717304      1017304      0      -
      2301.643886609     2         C2         161770       125770      0      -
      2301.644070239     2         C2         294339       258339      0      -
      2301.644386608     2         C3        4349096      3649096      0      -
      2301.648787723     2         C3        3450979      2750979      0      -
      2301.652286222     2         C3        6037451      5337451      0      -
      2301.658378993     2         C3        5696822      4996822      0      -
      2301.664129874     2         C3        5511213      4811213      0      -
      2301.669674377     2         C2         301119       265119      0      -
      2301.669991146     2         C3        4556815      3856815      0      -
      2301.674569651     2         C3        4267717      3567717      0      -
      2301.678864647     2         C3        3986888      3286888      0      -
      2301.682877835     2         C3        4331786      3631786      0      -
      2301.687224631     2         C3        5487352      4787352      0      -
      2301.692764003     2         C3        3901458      3201458      0      -
      2301.696712090     2         C3        2296783      1596783      0      -
      2301.699054113     2         C3        3281770      2581770      0      -
      2301.702381392     2         C3        1282496       582496      0      -
      2301.703695608     2         C3        3579299      2879299      0      -
      2301.707290207     2         C2         104289        68289      0      -
      2301.707409986     2         C3         956707       256707      0      -
      2301.708382433     2         C3        2062124      1362124      0      -
      2301.710466057     2         C3        4859244      4159244      0      -
      2301.715346551     2         C3        4426746      3726746      0      -
      2301.719790707     2         C3        2112203      1412203      0      -
      2301.721926420     2         C3        3849868      3149868      0      -
      2301.725800078     2         C2         296999       260999      0      -
      2301.726121627     2         C3        1031376       331376      0      -
      2301.727171393     2         C3        6016041      5316041      0      -
      2301.733211334     2         C3        1786794      1086794      0      -
      2301.735023508     2         C3        2487242      1787242      0      -
      2301.737528110     2         C3        3351929      2651929      0      -
      2301.740901689     2         C3        1815555      1115555      0      -
      2301.742732154     2         C3        2930620      2230620      0      -
      2301.745684764     2         C3        1486285       786285      0      -
      2301.747186899     2         C2         340509       304509      0      -
      2301.747542998     2         C3        1137277       437277      0      -
      2301.748695215     2         C3        3188519      2488519      0      -
      2301.751932024     2         C2         464669       428669      0      -
      2301.752413573     2         C3        2470682      1770682      0      -
      2301.754907235     2         C3        2031203      1331203      0      -
      2301.756960268     2         C3        2545372      1845372      0      -
      2301.759526770     2         C2         644478       608478      0      -
      2301.760186918     2         C3        5526032      4826032      0      -
      2301.765766860     2         C3        2898031      2198031      0      -
      2301.768700501     2         C3        5109673      4409673      0      -
      2301.773832164     2         C3        5914101      5214101      0      -
      2301.779767625     2         C3        2129524      1429524      0      -
      2301.781919108     2         C3        2948911      2248911      0      -
      2301.784892159     2         C3        4253876      3553876      0      -
      2301.789167675     2         C3        2609252      1909252      0      -
      2301.791799907     2         C3        1867014      1167014      0      -
      2301.793681861     2         C3        4721665      4021665      0      -
      2301.798459146     2         C3        5422562      4722562      0      -
      2301.803916468     2         C3        5687402      4987402      0      -
      2301.809657990     2         C3        3824968      3124968      0      -
      2301.813536358     2         C3        2318532      1618532      0      -
      2301.815908060     2         C3        5908741      5208741      0      -
      2301.821858941     2         C3        4117197      3417197      0      -
      2301.826030168     2         C2         445938       409938      0      -
      2301.826536006     2         C2         556068       520068      0      -
      2301.827144074     2         C3        4906454      4206454      0      -
      2301.832102528     2         C2         640878       604878      0      -
      2301.832802776     2         C2          96510        60510      0      -
      2301.832959616     2         C3        2405172      1705172      0      -
      2301.835402158     2         C3        3170990      2470990      0      -
      2301.838589218     2         C3        2959540      2259540      0      -
      2301.841609758     2         C3        2994020      2294020      0      -
      2301.844647928     2         C3        3792138      3092138      0      -
      2301.848493456     2         C3        4117977      3417977      0      -
