          Time-Start   CPU    C-State      Sleep[ns]    Delta[ns]   Miss  Below
      3844.580820969     3        C10        1230273     -3769727      1      0
      3844.705612268     3        C1E          33927        13927      0      -
      3844.892297610     3         C8        1424988       624988      0      -
      3844.893759171     3         C8        3356626      2556626      0      -
      3844.897148105     3         C8        3290628      2490628      0      -
      3844.900476487     3         C8        3126256      2326256      0      -
      3845.026582446     3         C3          52317       -47683      1      0
      3845.026637716     3         C3          66311       -33689      1      0
      3845.026705669     3        C1E          46021        26021      0      -
      3845.026758998     3         C8        3744532      2944532      0      -
      3845.030559463     3         C8        3216565      2416565      0      -
      3845.033811991     3         C8        3305938      2505938      0      -
      3845.037150150     3         C8        3304028      2504028      0      -
      3845.040949545     3         C8        2838018      2038018      0      -
      3845.043822101     3         C8        3293735      2493735      0      -
      3845.047151297     3         C8        3299509      2499509      0      -
      3845.050482707     3         C8        3300793      2500793      0      -
      3845.053826337     3        C1E         123522       103522      1      1
      3845.180229082     3         C8        3210780      2410780      0      -
      3845.183496194     3         C8        3259820      2459820      0      -
      3845.186764704     3         C8        3472714      2672714      0      -
      3845.190267167     3         C8        1998702      1198702      0      -
      3845.192761785     3         C6         793184       593184      0      -
      3845.193587655     3         C8        3530384      2730384      0      -
      3845.197149795     3         C8        3076141      2276141      0      -
      3845.200275042     3         C6         645323       445323      0      -
      3845.639236177     3         C6         981622       781622      1      1
      3845.640249869     3         C6         551421       351421      0      -
      3845.808857118     3         C8        1543516       743516      0      -
      3845.810436563     3         C8        3138887      2338887      0      -
      3845.813603399     3         C8        3516912      2716912      0      -
      3845.817160446     3         C8        3291014      2491014      0      -
      3845.820481538     3         C8        3301356      2501356      0      -
      3845.823814489     3         C8        2665029      1865029      0      -
      3846.280570266     3         C8        3262777      2462777      0      -
      3846.283876303     3         C6         552093       352093      0      -
      3846.396562493     3         C3         345568       245568      1      1
      3846.396924494     3         C8        3578707      2778707      0      -
      3846.400540342     3         C8        3293714      2493714      0      -
      3846.403882679     3         C8        3282506      2482506      0      -
      3846.407202346     3         C8        3299173      2499173      0      -
      3846.410538994     3         C8        3295433      2495433      0      -
      3846.414382105     3         C8        2735837      1935837      0      -
      3846.417154232     3         C6         473870       273870      0      -
